tconst,genres
tt0083109,Comedy
tt0083109,Ciencia Ficción
tt0083111,Acción
tt0083111,Thriller
tt0083113,Adventure
tt0083113,Mystery
tt0083113,Thriller
tt0083117,Adventure
tt0083117,Drama
tt0083133,Comedy
tt0083133,Terror
tt0083133,Mystery
tt0083144,Fantasía
tt0083144,Terror
tt0083144,Mystery
tt0083146,Crime
tt0083146,Drama
tt0083146,Terror
tt0083149,Acción
tt0083149,Adventure
tt0083149,Crime
tt0083156,Terror
tt0083156,Mystery
tt0083156,Thriller
tt0083160,Drama
tt0083160,Fantasía
tt0083162,Adventure
tt0083162,Comedy
tt0083162,Fantasía
tt0083170,Adventure
tt0083170,Drama
tt0083178,Drama
tt0083178,Terror
tt0083178,Thriller
tt0083183,Drama
tt0083183,Terror
tt0083185,Crime
tt0083185,Drama
tt0083185,Terror
tt0083186,Acción
tt0083186,Comedy
tt0083186,Drama
tt0083190,Acción
tt0083190,Crime
tt0083190,Drama
tt0083197,Drama
tt0083197,Ciencia Ficción
tt0083199,Acción
tt0083199,Crime
tt0083199,Thriller
tt0083205,Acción
tt0083205,War
tt0083219,Acción
tt0083219,Comedy
tt0083219,Drama
tt0083258,Adventure
tt0083258,Animación
tt0083258,Family
tt0083261,Terror
tt0083261,Thriller
tt0083264,Crime
tt0083264,Terror
tt0083264,Mystery
tt0083275,Drama
tt0083275,History
tt0083275,Terror
tt0083291,Acción
tt0083291,Crime
tt0083291,Thriller
tt0083296,Terror
tt0083296,Thriller
tt0083310,Comedy
tt0083310,Terror
tt0083310,Mystery
tt0083313,Acción
tt0083313,Drama
tt0083335,Drama
tt0083335,Ciencia Ficción
tt0083335,Thriller
tt0083336,Terror
tt0083336,Thriller
tt0083343,Acción
tt0083343,Drama
tt0083347,Terror
tt0083348,Acción
tt0083348,Adventure
tt0083348,Drama
tt0083349,Acción
tt0083349,Comedy
tt0083349,Drama
tt0083352,Acción
tt0083352,Comedy
tt0083352,Terror
tt0083361,Adventure
tt0083361,Comedy
tt0083361,Terror
tt0083366,Acción
tt0083366,Adventure
tt0083366,Comedy
tt0083375,Adventure
tt0083375,Drama
tt0083375,Terror
tt0083381,Acción
tt0083381,Crime
tt0083381,Drama
tt0083506,Acción
tt0083506,Crime
tt0083506,Drama
tt0083509,Acción
tt0083511,Acción
tt0083511,Comedy
tt0083511,Crime
tt0083520,Adventure
tt0083520,Drama
tt0083520,Fantasía
tt0083526,Acción
tt0083526,Terror
tt0083526,Ciencia Ficción
tt0083528,Acción
tt0083528,Drama
tt0083530,Comedy
tt0083530,Ciencia Ficción
tt0083537,Fantasía
tt0083537,Musical
tt0083537,Romance
tt0083541,Acción
tt0083541,Crime
tt0083542,Drama
tt0083542,Terror
tt0083542,Thriller
tt0083550,Terror
tt0083557,Ciencia Ficción
tt0083559,Animación
tt0083559,Fantasía
tt0083563,Adventure
tt0083563,Drama
tt0083563,Ciencia Ficción
tt0083565,Acción
tt0083565,Ciencia Ficción
tt0083565,Thriller
tt0083580,Adventure
tt0083580,Comedy
tt0083580,Sport
tt0083585,Crime
tt0083585,Terror
tt0083585,Mystery
tt0083591,Acción
tt0083591,Drama
tt0083591,History
tt0083605,Acción
tt0083605,Comedy
tt0083609,Acción
tt0083609,Drama
tt0083609,Music
tt0083618,Adventure
tt0083618,Comedy
tt0083624,Comedy
tt0083624,Terror
tt0083629,Terror
tt0083630,Acción
tt0083630,Adventure
tt0083630,Fantasía
